,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
77,1593699046518030337,1593510208420122624,2022-11-18 21:13:56 W. Europe Standard Time,2022-11-18,21:13:56,100,49968874,adrianaclu,adrianaclu,,"@automatikos @TaniuzzaCalabra @CarloCalenda @pdnetwork @pfmajorino da bravi liberisti, occupatevi di IV, Azione et similia.",it,[],[],[],0,0,0,[],[],https://twitter.com/adrianaclu/status/1593699046518030337,False,,0,,,,,,,,"[{'screen_name': 'automatikos', 'name': 'Andreas Automatikos', 'id': '1238131477981941761'}, {'screen_name': 'TaniuzzaCalabra', 'name': 'Tany', 'id': '193810402'}, {'screen_name': 'CarloCalenda', 'name': 'Carlo Calenda', 'id': '2416067982'}, {'screen_name': 'pdnetwork', 'name': 'Partito Democratico 🇮🇹 🇪🇺', 'id': '13294452'}, {'screen_name': 'pfmajorino', 'name': 'Pierfrancesco Majorino', 'id': '271596933'}]",,,,
78,1593698953576464384,1593698953576464384,2022-11-18 21:13:34 W. Europe Standard Time,2022-11-18,21:13:34,100,78592524,alehuber,Alessandro Huber della Torre di Valsassina,,"#Lombardia chiedo: ma al @PD_Lombardia (che tanto non fa le #primarie ) non sarebbe convenuto a questo punto appoggiare #Moratti per provare a vincere e poi avere gli assessorati più pesanti e la #goldenshare sul governo regionale? Nn sn Lombardo, chiedo. @ItaliaViva @Azione_it",it,"[{'screen_name': 'pd_lombardia', 'name': 'pd lombardia', 'id': '202113803'}, {'screen_name': 'italiaviva', 'name': 'italia viva', 'id': '1059361525109010433'}, {'screen_name': 'azione_it', 'name': 'azione', 'id': '1001344387102728194'}]",[],[],0,0,0,"['lombardia', 'primarie', 'moratti', 'goldenshare']",[],https://twitter.com/alehuber/status/1593698953576464384,False,,0,,,,,,,,[],,,,
79,1593698032117338113,1593698032117338112,2022-11-18 21:09:54 W. Europe Standard Time,2022-11-18,21:09:54,100,2539178977,maggioresimona,Europeista convinta/ ostinatamente di sinistra,,"Quanto meno ci ha graziato dal ""nonno partigiano""! Che se l'è ricordato solo ora, ma è un dettaglio. Ahahahah n'altra calata dall'alto in Azione. #ottoemezzo",it,[],[],[],0,0,3,['ottoemezzo'],[],https://twitter.com/MaggioreSimona/status/1593698032117338113,False,,0,,,,,,,,[],,,,
80,1593697668290813953,1593697668290813952,2022-11-18 21:08:28 W. Europe Standard Time,2022-11-18,21:08:28,100,1042330853584588800,hcaplive,#HCAP Live,,GOL!🚨 Incredibile azione personale di Ang che porta a spasso tutto il blocco biancoblù e serve a Ekestahl-Jonsson il facile gol del 3-1 proprio sulla seconda sirena. #HCAP,it,[],[],[],0,0,0,['hcap'],[],https://twitter.com/HcapLive/status/1593697668290813953,False,,0,,,,,,,,[],,,,
81,1593697441894760454,1593697071709802496,2022-11-18 21:07:34 W. Europe Standard Time,2022-11-18,21:07:34,100,1490681424445382662,lia35646494,Lia sonoqua 🌻🌻🌻,,lanciato la sua azione militare in Ucraina,it,[],[],[],1,10,55,[],[],https://twitter.com/Lia35646494/status/1593697441894760454,False,,0,,,,,,,,[],,,,
82,1593696276461207552,1593696276461207552,2022-11-18 21:02:56 W. Europe Standard Time,2022-11-18,21:02:56,100,172700427,filippoastone,Filippo Astone,,"#FemtoTechnologies (fondi #AlphaPrivateEquity e #Peninsula) ottiene il via libera Uk all’opa totalitaria su #PrimaIndustrie  Closing previsto per il 6 dicembre pv.. Prezzo: Euro 25,00 per ciascuna azione  https://t.co/jh5vLmRu28",it,[],['https://bit.ly/3tJjPjk'],[],0,0,0,"['femtotechnologies', 'alphaprivateequity', 'peninsula', 'primaindustrie']",[],https://twitter.com/FilippoAstone/status/1593696276461207552,False,,0,,,,,,,,[],,,,
83,1593695747605676032,1593695747605676032,2022-11-18 21:00:50 W. Europe Standard Time,2022-11-18,21:00:50,100,1001344387102728194,azione_it,Azione,,"Questa sera, alle 22:45, @CarloCalenda sarà ospite a @aedtalkshow su @nove.  🔵🟢 Entra in #Azione e sostieni l’#ItaliaSulSerio:  https://t.co/J60IrgNf3K  https://t.co/b8sLp7jTNZ",it,"[{'screen_name': 'carlocalenda', 'name': 'carlo calenda', 'id': '2416067982'}, {'screen_name': 'aedtalkshow', 'name': 'accordi&disaccordi', 'id': '1103669925812621312'}, {'screen_name': 'nove', 'name': 'nove', 'id': '817260552'}]",['https://www.azione.it/entra-in-azione'],['https://pbs.twimg.com/media/Fh3x1SaXoAcsOE0.jpg'],1,5,16,"['azione', 'italiasulserio']",[],https://twitter.com/Azione_it/status/1593695747605676032,False,,1,https://pbs.twimg.com/media/Fh3x1SaXoAcsOE0.jpg,,,,,,,[],,,,
84,1593695732065787907,1593636474536222720,2022-11-18 21:00:46 W. Europe Standard Time,2022-11-18,21:00:46,100,1182561403296780289,gennarosenatore,Gennaro Senatore 🇰🇿 🇱🇻 🇫🇮 🇨🇭 🇦🇴🇲🇿,,@AlessioParodi6 @danielhazan @Azione_it @MilanoinAzione1 È che con tutta sta competenza...,it,[],[],[],0,0,1,[],[],https://twitter.com/GennaroSenatore/status/1593695732065787907,False,,0,,,,,,,,"[{'screen_name': 'AlessioParodi6', 'name': 'Prof. Ampio PhD', 'id': '1273595894802382849'}, {'screen_name': 'danielhazan', 'name': 'Daniel Hazan 🐉', 'id': '49318571'}, {'screen_name': 'Azione_it', 'name': 'Azione', 'id': '1001344387102728194'}, {'screen_name': 'MilanoinAzione1', 'name': 'Milano in Azione', 'id': '1175055283640512514'}]",,,,
85,1593695219471437826,1593695219471437824,2022-11-18 20:58:44 W. Europe Standard Time,2022-11-18,20:58:44,100,3034421422,grimani72,Leonardo Grimani,,Altra chicca di @letiziamoratti ad @OttoemezzoTW . Afferma che Il suo credo  politico e’ la dottrina sociale della Chiesa . Chiedo agli amici liberal-democratici di @Azione_it e @ItaliaViva notizie e chiarimenti.,it,"[{'screen_name': 'letiziamoratti', 'name': 'letizia moratti', 'id': '247230903'}, {'screen_name': 'ottoemezzotw', 'name': 'otto e mezzo', 'id': '2359413432'}, {'screen_name': 'azione_it', 'name': 'azione', 'id': '1001344387102728194'}, {'screen_name': 'italiaviva', 'name': 'italia viva', 'id': '1059361525109010433'}]",[],[],0,0,2,[],[],https://twitter.com/grimani72/status/1593695219471437826,False,,0,,,,,,,,[],,,,
86,1593695044191535104,1593581708477140992,2022-11-18 20:58:02 W. Europe Standard Time,2022-11-18,20:58:02,100,1485357253955887110,lroithamer,Ludwig Roithamer,,@carlopiana @SignorErnesto @CarloCalenda @Azione_it @QuinziUgo Ha il blocco facile ma lo apprezzo.  Nel frattempo vorrei conoscere l'essere umano che ha scritto o meglio digitato il pezzo su affari italiani 🤯🤪,it,[],[],[],0,0,0,[],[],https://twitter.com/LRoithamer/status/1593695044191535104,False,,0,,,,,,,,"[{'screen_name': 'carlopiana', 'name': 'Carlo Piana (Kappa)', 'id': '14270140'}, {'screen_name': 'SignorErnesto', 'name': 'Signor Ernesto', 'id': '819062990'}, {'screen_name': 'CarloCalenda', 'name': 'Carlo Calenda', 'id': '2416067982'}, {'screen_name': 'Azione_it', 'name': 'Azione', 'id': '1001344387102728194'}, {'screen_name': 'QuinziUgo', 'name': 'Ugo Quinzi', 'id': '2688705527'}]",,,,
87,1593695043163938817,1593581708477140992,2022-11-18 20:58:02 W. Europe Standard Time,2022-11-18,20:58:02,100,13277252,davidgreco,David Greco 🇺🇦🇪🇺🇮🇹🇮🇱,,@SignorErnesto @CarloCalenda @Azione_it @QuinziUgo Sarebbe una gran cosa,it,[],[],[],0,0,0,[],[],https://twitter.com/davidgreco/status/1593695043163938817,False,,0,,,,,,,,"[{'screen_name': 'SignorErnesto', 'name': 'Signor Ernesto', 'id': '819062990'}, {'screen_name': 'CarloCalenda', 'name': 'Carlo Calenda', 'id': '2416067982'}, {'screen_name': 'Azione_it', 'name': 'Azione', 'id': '1001344387102728194'}, {'screen_name': 'QuinziUgo', 'name': 'Ugo Quinzi', 'id': '2688705527'}]",,,,
88,1593694361979699200,1593694361979699200,2022-11-18 20:55:19 W. Europe Standard Time,2022-11-18,20:55:19,100,3034421422,grimani72,Leonardo Grimani,,@letiziamoratti ad @OttoemezzoTW rivela che il centro destra gli avrebbe offerto molti incarichi. Non nega offerte di Ministeri e non chiarisce se avrebbe accettato o meno. Insomma tutto era possibile . La politica dei valori @Azione_it @ItaliaViva,it,"[{'screen_name': 'ottoemezzotw', 'name': 'otto e mezzo', 'id': '2359413432'}, {'screen_name': 'azione_it', 'name': 'azione', 'id': '1001344387102728194'}, {'screen_name': 'italiaviva', 'name': 'italia viva', 'id': '1059361525109010433'}]",[],[],0,0,0,[],[],https://twitter.com/grimani72/status/1593694361979699200,False,,0,,,,,,,,[],,,,
89,1593694241359892480,1593660033258074112,2022-11-18 20:54:51 W. Europe Standard Time,2022-11-18,20:54:51,100,1005197641796456448,latwittipe,TwittiPè,,"@DanielaAiuto Bè Daniè, era nel PD, aveva la tessera FGCI da giovane, parla di Rosselli e del Partito d’Azione, non mi sembrano proprio riferimenti non di sinistra.",it,[],[],[],1,0,2,[],[],https://twitter.com/latwittipe/status/1593694241359892480,False,,0,,,,,,,,"[{'screen_name': 'DanielaAiuto', 'name': 'Daniela Aiuto', 'id': '2466169957'}]",,,,
90,1593693690693931009,1593693690693931008,2022-11-18 20:52:39 W. Europe Standard Time,2022-11-18,20:52:39,100,3034421422,grimani72,Leonardo Grimani,,"@letiziamoratti ad @OttoemezzoTW ammette che il centro destra gli avrebbe offerto molti incarichi. Non smentisce offerte di ministeri e non chiarisce se avrebbe accettato o meno. Insomma , era tutto possibile. La politica dei valori @Azione_it @ItaliaViva",it,"[{'screen_name': 'ottoemezzotw', 'name': 'otto e mezzo', 'id': '2359413432'}, {'screen_name': 'azione_it', 'name': 'azione', 'id': '1001344387102728194'}, {'screen_name': 'italiaviva', 'name': 'italia viva', 'id': '1059361525109010433'}]",[],[],0,0,0,[],[],https://twitter.com/grimani72/status/1593693690693931009,False,,0,,,,,,,,[],,,,
